"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Tomato","/crops photo/tomato.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Rice","/crops photo/rice.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Potato","/crops photo/potato.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Tomato","/crops photo/tomato.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Rice","/crops photo/rice.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
